Date,Station XV (San Pedro),Station XVI (Sta. Rosa),mean
Jan-16,0.724,0.011,0.3675
Feb-16,0.538,0.285,0.4115
Mar-16,0.352,0.559,0.4555
Apr-16,0.128,0.102,0.115
May-16,0.019,0.036,0.0275
Jun-16,0.77,0.165,0.4675
Jul-16,0.001,0.001,0.001
Aug-16,0.301,0.001,0.151
Sep-16,0.069,0.037,0.053
Oct-16,0.035,0.055,0.045
Nov-16,0.184,0.14,0.162
Dec-16,0.028,0.014,0.021
Jan-17,0.379,0.001,0.19
Feb-17,0.509,2.136,1.3225
Mar-17,0.205,0.285,0.245
Apr-17,0.09,0.094,0.092
May-17,0.013,0.001,0.007
Jun-17,0.001,0.001,0.001
Jul-17,0.019,0.02,0.0195
Aug-17,0.026,0.001,0.0135
Sep-17,0.001,0.001,0.001
Oct-17,0.217,0.023,0.12
Nov-17,0.334,0.182,0.258
Dec-17,0.046,0.153,0.0995
Jan-18,0.396,0.402,0.399
Feb-18,0.407,0.367,0.387
Mar-18,0.242,0.222,0.232
Apr-18,0.05,0.05,0.05
May-18,0.05,0.05,0.05
Jun-18,0.177,0.05,0.1135
Jul-18,0.05,0.05,0.05
Aug-18,0.161,0.092,0.1265
Sep-18,4.434,0.844,2.639
Oct-18,0.05,0.05,0.05
Nov-18,0.112,0.05,0.081
Dec-18,0.074,0.085,0.0795
Jan-19,0.062,0.0675,0.06475
Feb-19,0.05,0.05,0.05
Mar-19,0.05,0.05,0.05
Apr-19,0.05,0.05,0.05
May-19,0.05,0.05,0.05
Jun-19,0.05,0.05,0.05
Jul-19,0.033,0.026,0.0295
Aug-19,0.05,0.05,0.05
Sep-19,0.05,0.05,0.05
Oct-19,0.05,0.05,0.05
Nov-19,0.05,0.05,0.05
Dec-19,0.17,0.178,0.174
Jan-20,0.385,0.276,0.3305
Feb-20,0.05,0.05,0.05
Mar-20,0.05,0.05,0.05
Apr-20,0.05,0.05,0.05
May-20,0.05,0.05,0.05
Jun-20,0.05,0.05,0.05
Jul-20,0.05,0.05,0.05
Aug-20,0.05,0.05,0.05
Sep-20,0.05,0.05,0.05
Oct-20,0.05,0.05,0.05
Nov-20,0.05,0.05,0.05
Dec-20,0.05,0.05,0.05
Jan-21,0.05,0.05,0.05
Feb-21,0.05,0.05,0.05
Mar-21,0.05,0.05,0.05
Apr-21,0.05,0.05,0.05
May-21,0.05,0.05,0.05
Jun-21,0.114,0.05,0.082
Jul-21,0.05,0.05,0.05
Aug-21,0.17,0.32,0.245
Sep-21,0.31,0.24,0.275
Oct-21,0.14,0.05,0.095
Nov-21,0.05,0.18,0.115
Dec-21,0.21,0.29,0.25
Jan-22,0.325,0.463,0.394
Feb-22,0.44,0.636,0.538
Mar-22,0.005,0.005,0.005
Apr-22,0.02,0.01,0.015
May-22,0.01,0.04,0.025
Jun-22,0.01,0.01,0.01
Jul-22,0.005,0.005,0.005
Aug-22,0.1,0.05,0.075
Sep-22,0.12,0.05,0.085
Oct-22,0.21,0.05,0.13
Nov-22,0.76,0.64,0.7
Dec-22,0.58,0.54,0.56
